
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'Northeast', 'East', 'Northwest']
   1.79 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'Northeast', 'Northwest', 'East']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'Northwest', 'East', 'Northeast']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Southwest', 'Northwest', 'Northeast', 'East']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'East', 'Southwest', 'Northwest']
   1.82 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'East', 'Northwest', 'Southwest']
   1.81 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'Southwest', 'East', 'Northwest']
   1.84 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'Southwest', 'Northwest', 'East']
   1.85 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'Northwest', 'East', 'Southwest']
   1.78 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northeast', 'Northwest', 'Southwest', 'East']
   1.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northwest', 'East', 'Southwest', 'Northeast']
   1.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northwest', 'East', 'Northeast', 'Southwest']
   1.79 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['West', 'Southeast', 'Northwest', 'Southwest', 'East', 'Northeast']
